市町村コード
5桁	市町村コード
6桁	都道府県名	市町村名
27100	271004	大阪府	大阪市（全体）
27102	271021	大阪府	大阪市 都島区
27103	271039	大阪府	大阪市 福島区
27104	271047	大阪府	大阪市 此花区
27106	271063	大阪府	大阪市 西区
27107	271071	大阪府	大阪市 港区
27108	271080	大阪府	大阪市 大正区
27109	271098	大阪府	大阪市 天王寺区
27111	271110	大阪府	大阪市 浪速区
27113	271136	大阪府	大阪市 西淀川区
27114	271144	大阪府	大阪市 東淀川区
27115	271152	大阪府	大阪市 東成区
27116	271161	大阪府	大阪市 生野区
27117	271179	大阪府	大阪市 旭区
27118	271187	大阪府	大阪市 城東区
27119	271195	大阪府	大阪市 阿倍野区
27120	271209	大阪府	大阪市 住吉区
27121	271217	大阪府	大阪市 東住吉区
27122	271225	大阪府	大阪市 西成区
27123	271233	大阪府	大阪市 淀川区
27124	271241	大阪府	大阪市 鶴見区
27125	271250	大阪府	大阪市 住之江区
27126	271268	大阪府	大阪市 平野区
27127	271276	大阪府	大阪市 北区
27128	271284	大阪府	大阪市 中央区
27140	271403	大阪府	堺市（全体）
27141	271411	大阪府	堺市 堺区
27142	271420	大阪府	堺市 中区
27143	271438	大阪府	堺市 東区
27144	271446	大阪府	堺市 西区
27145	271454	大阪府	堺市 南区
27146	271462	大阪府	堺市 北区
27147	271471	大阪府	堺市 美原区
27202	272027	大阪府	岸和田市
27203	272035	大阪府	豊中市
27204	272043	大阪府	池田市
27205	272051	大阪府	吹田市
27206	272060	大阪府	泉大津市
27207	272078	大阪府	高槻市
27208	272086	大阪府	貝塚市
27209	272094	大阪府	守口市
27210	272108	大阪府	枚方市
27211	272116	大阪府	茨木市
27212	272124	大阪府	八尾市
27213	272132	大阪府	泉佐野市
27214	272141	大阪府	富田林市
27215	272159	大阪府	寝屋川市
27216	272167	大阪府	河内長野市
27217	272175	大阪府	松原市
27218	272183	大阪府	大東市
27219	272191	大阪府	和泉市
27220	272205	大阪府	箕面市
27221	272213	大阪府	柏原市
27222	272221	大阪府	羽曳野市
27223	272230	大阪府	門真市
27224	272248	大阪府	摂津市
27225	272256	大阪府	高石市
27226	272264	大阪府	藤井寺市
27227	272272	大阪府	東大阪市
27228	272281	大阪府	泉南市
27229	272299	大阪府	四條畷市
27230	272302	大阪府	交野市
27231	272311	大阪府	大阪狭山市
27232	272329	大阪府	阪南市
27301	273015	大阪府	三島郡 島本町
27321	273210	大阪府	豊能郡 豊能町
27322	273228	大阪府	豊能郡 能勢町
27341	273414	大阪府	泉北郡 忠岡町
27361	273619	大阪府	泉南郡 熊取町
27362	273627	大阪府	泉南郡 田尻町
27366	273660	大阪府	泉南郡 岬町
27381	273813	大阪府	南河内郡 太子町
27382	273821	大阪府	南河内郡 河南町
27383	273830	大阪府	南河内郡 千早赤阪村
